1: P: started
1444: O 6073: started
1445: O 1201: started
1446: O 6078: started
1447: O 1203: started
1448: O 6083: started
1449: O 1204: started
1450: O 6088: started
1451: O 1206: started
1452: O 1207: started
1453: O 1208: started
1454: O 6060: started
1455: O 6103: started
1456: O 6106: started
1457: O 1211: started
1458: O 243: started
1459: O 242: arrived to 1
1460: O 6111: started
1461: O 1214: started
1462: O 1215: started
1463: O 1216: started
1464: O 1212: arrived to 0
1465: O 1217: started
1466: O 1218: started
1467: O 1219: started
1468: O 244: arrived to 1
1469: O 6141: started
1470: O 1221: started
1471: O 1222: started
1472: O 1223: started
1473: O 1224: started
1474: O 1225: started
1475: O 246: arrived to 0
1476: O 1226: started
1477: O 1227: started
1478: O 6172: started
1479: O 247: arrived to 0
1480: O 1229: started
1481: O 245: arrived to 0
1482: O 248: arrived to 0
1483: O 6199: started
1484: O 1231: started
1485: O 6208: started
1486: O 6212: started
1487: O 6218: started
1488: O 251: started
1489: O 250: arrived to 1
1490: O 1235: started
1491: O 1236: started
1492: O 1237: started
1493: O 1238: started
1494: O 1234: arrived to 1
1495: O 1239: started
1496: O 1240: started
1497: O 1241: started
